一级行业,二级行业,三级行业
煤炭,煤炭开采,动力煤
煤炭,煤炭开采,焦煤
煤炭,焦炭Ⅱ,焦炭Ⅲ
石油石化,油气开采Ⅱ,油气开采Ⅲ
石油石化,油服工程,油田服务
石油石化,油服工程,油气及炼化工程
石油石化,炼化及贸易,炼油化工
石油石化,炼化及贸易,其他石化
石油石化,炼化及贸易,油品石化贸易
环保,环境治理,大气治理
环保,环境治理,水务及水治理
环保,环境治理,固废治理
环保,环境治理,综合环境治理
环保,环保设备Ⅱ,环保设备Ⅲ
美容护理,个护用品,生活用纸
美容护理,个护用品,洗护用品
美容护理,化妆品,化妆品制造及其他
美容护理,化妆品,品牌化妆品
美容护理,医疗美容,医美耗材
美容护理,医疗美容,医美服务
计算机,计算机设备,安防设备
计算机,计算机设备,其他计算机设备
计算机,IT服务Ⅱ,IT服务Ⅲ
计算机,软件开发,垂直应用软件
计算机,软件开发,横向通用软件
传媒,出版,大众出版
传媒,出版,教育出版
传媒,电视广播Ⅱ,电视广播Ⅲ
传媒,游戏Ⅱ,游戏Ⅲ
传媒,广告营销,营销代理
传媒,广告营销,广告媒体
传媒,影视院线,影视动漫制作
传媒,影视院线,院线
传媒,数字媒体,视频媒体
传媒,数字媒体,图片媒体
传媒,数字媒体,门户网站
传媒,数字媒体,文字媒体
传媒,数字媒体,其他数字媒体
通信,通信服务,电信运营商
通信,通信服务,通信工程及服务
通信,通信服务,通信应用增值服务
通信,通信设备,通信网络设备及器件
通信,通信设备,通信线缆及配套
通信,通信设备,通信终端及配件
通信,通信设备,其他通信设备
机械设备,通用设备,机床工具
机械设备,通用设备,磨具磨料
机械设备,通用设备,制冷空调设备
机械设备,通用设备,其他通用设备
机械设备,通用设备,仪器仪表
机械设备,通用设备,金属制品
机械设备,专用设备,能源及重型设备
机械设备,专用设备,楼宇设备
机械设备,专用设备,纺织服装设备
机械设备,专用设备,农用机械
机械设备,专用设备,印刷包装机械
机械设备,专用设备,其他专用设备
机械设备,轨交设备Ⅱ,轨交设备Ⅲ
机械设备,工程机械,工程机械整机
机械设备,工程机械,工程机械器件
机械设备,自动化设备,机器人
机械设备,自动化设备,工控设备
机械设备,自动化设备,激光设备
机械设备,自动化设备,其他自动化设备
国防军工,航天装备Ⅱ,航天装备Ⅲ
国防军工,航空装备Ⅱ,航空装备Ⅲ
国防军工,地面兵装Ⅱ,地面兵装Ⅲ
国防军工,航海装备Ⅱ,航海装备Ⅲ
国防军工,军工电子Ⅱ,军工电子Ⅲ
电力设备,电机Ⅱ,电机Ⅲ
电力设备,其他电源设备Ⅱ,综合电力设备商
电力设备,其他电源设备Ⅱ,火电设备
电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ
电力设备,其他电源设备Ⅱ,储能
电力设备,光伏设备,硅料硅片
电力设备,光伏设备,光伏电池组件
电力设备,光伏设备,逆变器
电力设备,光伏设备,光伏主材
电力设备,光伏设备,光伏辅材
电力设备,光伏设备,光伏加工设备
电力设备,风电设备,风电整机
电力设备,风电设备,风电零部件
电力设备,电池,锂电池
电力设备,电池,电池化学品
电力设备,电池,锂电专用设备
电力设备,电池,燃料电池
电力设备,电池,蓄电池及其他电池
电力设备,电网设备,输变电设备
电力设备,电网设备,配电设备
电力设备,电网设备,电网自动化设备
电力设备,电网设备,电工仪器仪表
电力设备,电网设备,线缆部件及其他
综合,综合Ⅱ,综合Ⅲ
建筑材料,水泥,水泥制造
建筑材料,水泥,水泥制品
建筑材料,玻璃玻纤,玻璃制造
建筑材料,玻璃玻纤,玻纤制造
建筑材料,装修建材,耐火材料
建筑材料,装修建材,管材
建筑材料,装修建材,其他建材Ⅲ
建筑材料,装修建材,防水材料
建筑材料,装修建材,涂料
建筑装饰,房屋建设Ⅱ,房屋建设Ⅲ
建筑装饰,工程咨询服务Ⅱ,工程咨询服务Ⅲ
建筑装饰,装修装饰Ⅱ,装修装饰Ⅲ
建筑装饰,基础建设,基建市政工程
建筑装饰,基础建设,园林工程
建筑装饰,专业工程,钢结构
建筑装饰,专业工程,化学工程
建筑装饰,专业工程,国际工程
建筑装饰,专业工程,其他专业工程
银行,银行Ⅱ,国有大型银行Ⅲ
银行,银行Ⅱ,股份制银行Ⅲ
银行,银行Ⅱ,城商行Ⅲ
银行,银行Ⅱ,农商行Ⅲ
非银金融,证券Ⅱ,证券Ⅲ
非银金融,保险Ⅱ,保险Ⅲ
非银金融,多元金融,金融控股
非银金融,多元金融,期货
非银金融,多元金融,信托
非银金融,多元金融,租赁
非银金融,多元金融,金融信息服务
非银金融,多元金融,资产管理
非银金融,多元金融,其他多元金融
商贸零售,一般零售,百货
商贸零售,一般零售,超市
商贸零售,一般零售,多业态零售
商贸零售,一般零售,商业物业经营
商贸零售,专业连锁Ⅱ,专业连锁Ⅲ
商贸零售,互联网电商,综合电商
商贸零售,互联网电商,跨境电商
商贸零售,互联网电商,电商服务
商贸零售,旅游零售Ⅱ,旅游零售Ⅲ
社会服务,体育Ⅱ,体育Ⅲ
社会服务,专业服务,人力资源服务
社会服务,专业服务,检测服务
社会服务,专业服务,会展服务
社会服务,专业服务,其他专业服务
社会服务,酒店餐饮,酒店
社会服务,酒店餐饮,餐饮
社会服务,旅游及景区,人工景区
社会服务,旅游及景区,自然景区
社会服务,旅游及景区,旅游综合
社会服务,教育,学历教育
社会服务,教育,培训教育
社会服务,教育,教育运营及其他
交通运输,物流,原材料供应链服务
交通运输,物流,端到端供应链服务
交通运输,物流,快递
交通运输,物流,跨境物流
交通运输,物流,仓储物流
交通运输,物流,公路货运
交通运输,铁路公路,高速公路
交通运输,铁路公路,公交
交通运输,铁路公路,铁路运输
交通运输,航空机场,航空运输
交通运输,航空机场,机场
交通运输,航运港口,航运
交通运输,航运港口,港口
房地产,房地产开发,住宅开发
房地产,房地产开发,商业地产
房地产,房地产开发,产业地产
房地产,房地产服务,房产租赁经纪
房地产,房地产服务,物业管理
房地产,房地产服务,房地产综合服务
医药生物,化学制药,原料药
