ts_code,name,con_name,con_code,trade_date,desc,hot_num
000226.KP,商业航天,拓日新能,002218.SZ,20260324,2025年12月8日互动易：公司生产的太阳能电池产品曾于2015年供应“开拓一号”卫星使用，该产品随卫星入轨至今仍保持稳定工作状态,29490
000229.KP,电力,拓日新能,002218.SZ,20260324,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,29490
000229.KP,电力,拓日新能,002218.SZ,20260323,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,18189
000226.KP,商业航天,拓日新能,002218.SZ,20260323,2025年12月8日互动易：公司生产的太阳能电池产品曾于2015年供应“开拓一号”卫星使用，该产品随卫星入轨至今仍保持稳定工作状态,12946
000226.KP,商业航天,拓日新能,002218.SZ,20260322,2025年12月8日互动易：公司生产的太阳能电池产品曾于2015年供应“开拓一号”卫星使用，该产品随卫星入轨至今仍保持稳定工作状态,6285
000229.KP,电力,拓日新能,002218.SZ,20260322,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,5597
000229.KP,电力,拓日新能,002218.SZ,20260321,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,3901
000229.KP,电力,拓日新能,002218.SZ,20260320,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,1540
000226.KP,商业航天,拓日新能,002218.SZ,20260319,2025年12月8日互动易：公司生产的太阳能电池产品曾于2015年供应“开拓一号”卫星使用，该产品随卫星入轨至今仍保持稳定工作状态,1520
000229.KP,电力,拓日新能,002218.SZ,20260319,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,1520
000226.KP,商业航天,拓日新能,002218.SZ,20260318,2025年12月8日互动易：公司生产的太阳能电池产品曾于2015年供应“开拓一号”卫星使用，该产品随卫星入轨至今仍保持稳定工作状态,1416
000229.KP,电力,拓日新能,002218.SZ,20260318,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,1416
000229.KP,电力,拓日新能,002218.SZ,20260317,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,1844
000229.KP,电力,拓日新能,002218.SZ,20260316,2024年12月13日投资者关系活动记录表：截止目前公司已并网光伏电站约500MW，在建光伏电站项目超过300MW，全年为全国输出约5亿度绿色电力,1343
