ts_code,name,con_name,con_code,trade_date,desc,hot_num
000083.KP,半导体设备,亚翔集成,603929.SH,20260118,公司主营业务为IC半导体、光电等高科技电子产业及食品医药、云计算中心等相关领域的建厂工程提供洁净室工程、机电工程及建筑工程等服务。,16912
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20260102,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,4451
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20260101,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,3096
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251231,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1282
000083.KP,半导体设备,亚翔集成,603929.SH,20251224,公司主营业务为IC半导体、光电等高科技电子产业及食品医药、云计算中心等相关领域的建厂工程提供洁净室工程、机电工程及建筑工程等服务。,5716
000083.KP,半导体设备,亚翔集成,603929.SH,20251223,公司主营业务为IC半导体、光电等高科技电子产业及食品医药、云计算中心等相关领域的建厂工程提供洁净室工程、机电工程及建筑工程等服务。,10939
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251027,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,370
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251026,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1184
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251025,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,782
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251024,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,366
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251023,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,370
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251022,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,349
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251021,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,348
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251020,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,385
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251019,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2534
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251018,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,747
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251017,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,364
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251016,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,378
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251015,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,405
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251014,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,415
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251013,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,414
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251012,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1373
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251011,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,926
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251010,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,421
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251009,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,692
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251008,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,3907
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251007,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,3796
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251006,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,3073
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251005,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2904
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251004,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2489
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251003,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2113
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251002,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1580
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20251001,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1057
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250930,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,458
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250929,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,591
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250928,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,4036
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250927,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2911
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250926,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,951
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250925,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,406
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250924,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,546
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250923,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,381
000129.KP,长鑫存储概念,XD亚翔集,603929.SH,20250922,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,400
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250921,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1197
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250920,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,820
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250919,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,385
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250918,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,388
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250917,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,389
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250916,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,376
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250915,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,412
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250914,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1538
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250913,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,999
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250912,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,255
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250911,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,202
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250910,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,323
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250909,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,310
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250908,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,411
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250907,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2105
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250906,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1373
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250905,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,491
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250904,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,558
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250903,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,746
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250902,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,575
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250901,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,794
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250831,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,4233
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250830,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2814
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250829,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,881
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250828,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1100
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250827,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,2223
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250826,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,3219
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250825,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1600
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250824,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,1114
000129.KP,长鑫存储概念,亚翔集成,603929.SH,20250823,公司持续全力强化芯片厂的业务能力和技术能力，承揽了合肥长鑫洁净室工程,715
