con_code,name,concept_name
688068.SH,热景生物,精准诊断
603387.SH,基蛋生物,精准诊断
002432.SZ,九安医疗,精准诊断
300016.SZ,北陆药业,精准诊断
300685.SZ,艾德生物,精准诊断
920009.BJ,丹娜生物,精准诊断
688137.SH,近岸蛋白,精准诊断
300151.SZ,昌红科技,精准诊断
002675.SZ,东诚药业,精准诊断
688105.SH,诺唯赞,精准诊断
300030.SZ,阳普医疗,精准诊断
300639.SZ,凯普生物,精准诊断
688393.SH,安必平,精准诊断
300206.SZ,理邦仪器,精准诊断
300003.SZ,乐普医疗,精准诊断
000710.SZ,贝瑞基因,精准诊断
688468.SH,科美诊断,精准诊断
002589.SZ,瑞康医药,精准诊断
688317.SH,之江生物,精准诊断
300760.SZ,迈瑞医疗,精准诊断
688315.SH,诺禾致源,精准诊断
300171.SZ,东富龙,精准诊断
300406.SZ,九强生物,精准诊断
300318.SZ,博晖创新,精准诊断
688656.SH,浩欧博,精准诊断
002022.SZ,科华生物,精准诊断
002030.SZ,达安基因,精准诊断
605369.SH,拱东医疗,精准诊断
300244.SZ,迪安诊断,精准诊断
002262.SZ,恩华药业,精准诊断
688426.SH,康为世纪,精准诊断
300676.SZ,华大基因,精准诊断
300396.SZ,迪瑞医疗,精准诊断
002932.SZ,明德生物,精准诊断
688289.SH,圣湘生物,精准诊断
300869.SZ,康泰医学,精准诊断
603716.SH,塞力医疗,精准诊断
603392.SH,万泰生物,精准诊断
688217.SH,睿昂基因,精准诊断
002643.SZ,万润股份,精准诊断
688389.SH,普门科技,精准诊断
300298.SZ,三诺生物,精准诊断
603658.SH,安图生物,精准诊断
603222.SH,济民健康,精准诊断
688338.SH,赛科希德,精准诊断
600079.SH,ST人福,精准诊断
688399.SH,硕世生物,精准诊断
688298.SH,东方生物,精准诊断
002086.SZ,东方海洋,精准诊断
603122.SH,合富中国,精准诊断
688575.SH,亚辉龙,精准诊断
688114.SH,华大智造,精准诊断
688253.SH,英诺特,精准诊断
002980.SZ,华盛昌,精准诊断
920575.BJ,康乐卫士,精准诊断
688075.SH,安旭生物,精准诊断
300832.SZ,新产业,精准诊断
688606.SH,奥泰生物,精准诊断
002252.SZ,上海莱士,精准诊断
603108.SH,润达医疗,精准诊断
300165.SZ,ST天瑞,精准诊断
301293.SZ,三博脑科,精准诊断
688710.SH,益诺思,创新医疗服务
300683.SZ,海特生物,创新医疗服务
603127.SH,昭衍新药,创新医疗服务
002432.SZ,九安医疗,创新医疗服务
688202.SH,美迪西,创新医疗服务
000989.SZ,九芝堂,创新医疗服务
688222.SH,成都先导,创新医疗服务
300730.SZ,科创信息,创新医疗服务
300149.SZ,睿智医药,创新医疗服务
301230.SZ,泓博医药,创新医疗服务
300347.SZ,泰格医药,创新医疗服务
688621.SH,阳光诺和,创新医疗服务
603456.SH,九洲药业,创新医疗服务
300725.SZ,药石科技,创新医疗服务
688073.SH,毕得医药,创新医疗服务
300363.SZ,博腾股份,创新医疗服务
300404.SZ,博济医药,创新医疗服务
688247.SH,宣泰医药,创新医疗服务
600222.SH,太龙药业,创新医疗服务
002250.SZ,联化科技,创新医疗服务
688238.SH,和元生物,创新医疗服务
002368.SZ,太极股份,创新医疗服务
301333.SZ,诺思格,创新医疗服务
301520.SZ,万邦医药,创新医疗服务
600196.SH,复星医药,创新医疗服务
920017.BJ,星昊医药,创新医疗服务
300759.SZ,康龙化成,创新医疗服务
300026.SZ,红日药业,创新医疗服务
301047.SZ,义翘神州,创新医疗服务
002821.SZ,凯莱英,创新医疗服务
002219.SZ,新里程,创新医疗服务
000516.SZ,国际医学,创新医疗服务
301393.SZ,昊帆生物,创新医疗服务
300244.SZ,迪安诊断,创新医疗服务
000705.SZ,浙江震元,创新医疗服务
600721.SH,百花医药,创新医疗服务
000411.SZ,英特集团,创新医疗服务
300049.SZ,福瑞医科,创新医疗服务
603229.SH,奥翔药业,创新医疗服务
603259.SH,药明康德,创新医疗服务
600272.SH,开开实业,创新医疗服务
603716.SH,塞力医疗,创新医疗服务
000950.SZ,重药控股,创新医疗服务
300451.SZ,创业慧康,创新医疗服务
688246.SH,嘉和美康,创新医疗服务
300074.SZ,华平股份,创新医疗服务
688131.SH,皓元医药,创新医疗服务
300550.SZ,和仁科技,创新医疗服务
300015.SZ,爱尔眼科,创新医疗服务
301408.SZ,华人健康,创新医疗服务
600570.SH,恒生电子,创新医疗服务
300288.SZ,朗玛信息,创新医疗服务
301551.SZ,无线传媒,创新医疗服务
002178.SZ,延华智能,创新医疗服务
301370.SZ,国科恒泰,创新医疗服务
300075.SZ,数字政通,创新医疗服务
