ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002050.SZ,20260327,43.35,1.8338,3.2771,0.77,44.8984,44.8984,5.7456,5.8822,5.8822,0.5764,0.8526,420801.3935,368419.7533,206157.9217,18241740.4082,15970996.3056
300788.SZ,20260327,30.31,1.3225,4.9907,0.55,44.3024,44.3024,2.6159,3.386,3.386,1.577,1.577,19015.1515,19015.1515,5039.0151,576349.242,576349.242
603788.SH,20260327,14.94,0.5706,1.1695,0.63,17.4858,17.188,1.6129,2.2816,2.1806,4.6854,4.6854,22306.5068,22306.5068,10884.0468,333259.2116,333259.2116
605259.SH,20260327,21.44,1.1484,2.6347,0.75,19.8727,14.933,2.0609,1.644,1.4465,2.7985,2.7985,17248.0,17248.0,7517.6584,369797.12,369797.12
002117.SZ,20260327,10.23,0.941,1.3608,0.65,33.9485,26.6925,3.7974,4.5496,4.2218,2.0528,2.0528,52372.0955,52355.468,36205.143,535766.537,535596.4376
920925.BJ,20260327,16.62,1.5983,2.3323,0.62,273.8087,107.9587,4.3986,8.7943,5.3213,0.1767,0.1767,9846.0643,5529.5053,3789.3243,163641.5887,91900.3781
002634.SZ,20260327,7.39,3.4985,4.5557,0.97,,,,3.0706,6.0247,,,45935.2513,44651.4538,34289.6383,339461.5071,329974.2436
000859.SZ,20260327,10.32,6.511,9.1852,1.42,,,3.3922,3.9954,4.0987,,,89597.6271,89592.5271,63508.3637,924647.5117,924594.8797
688360.SH,20260327,19.41,1.489,2.8928,0.71,55.3324,54.7537,3.526,3.5126,3.0082,0.552,0.552,26374.5667,25228.6035,12985.541,511930.3396,489687.1939
688737.SH,20260327,26.24,1.4705,2.3403,0.65,,,1.7728,2.0048,1.776,,,11956.4509,11956.4509,7512.4108,313737.2716,313737.2716
300286.SZ,20260327,28.57,2.1992,3.1032,0.52,42.1887,35.1913,3.2049,6.738,6.6065,1.395,1.395,25078.4655,20777.5054,14724.6121,716491.7593,593613.3293
603883.SH,20260327,13.5,0.9819,1.8776,0.88,19.7375,24.5353,1.5332,0.4582,0.4616,1.6306,1.6306,75889.0236,75889.0236,39685.8028,1024501.8186,1024501.8186
300517.SZ,20260327,11.27,2.1592,2.6652,0.54,98.1873,,2.2379,5.3825,7.4929,0.8761,0.8761,20041.3473,12402.5748,10047.9766,225865.9841,139777.018
600638.SH,20260327,6.03,1.0405,1.6623,0.76,49.696,24.9586,0.881,1.3894,1.8817,0.6136,0.6136,67339.6786,67339.6786,42152.1523,406058.262,406058.262
300417.SZ,20260327,12.46,4.1384,5.1805,0.55,113.5438,,3.6518,13.4871,10.0362,,,13456.32,8756.2238,6994.8185,167665.7472,109102.5485
002756.SZ,20260327,81.21,5.8508,6.6777,0.85,41.9566,72.4674,3.5413,5.4225,5.9243,0.9658,0.9658,53910.154,38873.0641,34059.3089,4378043.6063,3156881.5356
920245.BJ,20260327,23.48,0.6397,1.3315,0.65,56.3592,90.8341,3.3544,3.4521,3.4192,0.6391,0.6391,4967.7,3799.5962,1825.6283,116641.596,89214.5188
688022.SH,20260327,14.34,1.5802,2.1421,0.64,,71.2639,3.6963,5.3212,3.3823,,,17587.8324,17587.8324,12973.9087,252209.5166,252209.5166
002404.SZ,20260327,6.78,1.6928,2.5818,0.87,23.6246,23.5827,1.9206,0.8325,0.8274,4.4248,4.4248,56005.1541,45578.7096,29883.602,379714.9448,309023.6511
600057.SH,20260327,7.96,0.7378,1.6843,0.8,15.9365,10.4563,1.4035,0.0617,0.0586,4.3089,4.3089,284058.9339,209251.0164,91661.7272,2261109.1138,1665638.0905
000921.SZ,20260327,22.23,0.7439,1.8279,0.72,9.1955,9.1442,1.8189,0.3319,0.3286,5.5286,5.5286,138486.1171,91812.2463,37364.77,3078546.3831,2040986.2352
002496.SZ,20260327,1.93,2.5986,2.879,0.88,,,2.1967,10.3912,8.4197,,,150758.9677,111245.2271,100409.6423,290964.8077,214703.2883
601018.SH,20260327,4.12,0.2441,1.5479,0.88,16.3659,15.5102,0.9926,2.7925,2.5807,3.3495,3.3495,1945438.8399,1945438.8399,306805.4656,8015208.0204,8015208.0204
600749.SH,20260327,16.21,1.6152,2.9402,0.66,220.4789,125.9851,3.4195,17.2394,18.0173,,,22696.5517,22696.5517,12468.1759,367911.1031,367911.1031
002657.SZ,20260327,22.45,1.9031,2.079,0.65,,,4.3908,6.543,6.484,,,34005.1995,33611.404,30767.3989,763416.7288,754576.0198
001259.SZ,20260327,31.93,2.542,5.013,1.04,216.9184,479.7465,3.2898,6.1607,5.7883,0.495,0.495,7358.8888,4754.4499,2410.9388,234969.3194,151809.5853
000981.SZ,20260327,4.34,3.9025,6.777,0.91,,,25.7752,8.7298,12.5909,,,999747.0888,951335.6093,547814.8281,4338902.3654,4128796.5444
301032.SZ,20260327,11.94,2.5835,4.6838,0.67,36.3959,31.4361,2.3869,1.2738,1.2369,0.8375,0.8375,24113.34,15987.2775,8818.3975,287913.2796,190888.0934
000408.SZ,20260327,80.5,1.2157,2.7311,0.81,32.8119,32.8119,7.7817,35.3402,35.3402,1.2412,1.2412,157022.5745,157020.9245,69894.1973,12640317.2473,12640184.4223
600117.SH,20260327,2.62,0.3908,1.0737,0.54,,,2.1202,1.4917,1.4387,,,325511.4857,325511.4857,118489.7958,852840.0925,852840.0925
