代码,名称,最新价,涨跌幅,首次封板时间,最后封板时间,炸板次数,所属行业,连板数,涨停统计
000010.SZ,美丽生态,4.42,9.95,101054,111000,5,基础建设,1,1/1
000525.SZ,红太阳,6.83,9.98,130300,132339,1,农化制品,1,1/1
000533.SZ,顺钠股份,12.3,10.02,93136,93336,2,电网设备,1,1/1
000862.SZ,银星能源,7.34,10.04,133539,133539,0,电力,1,1/1
000890.SZ,法尔胜,8.87,10.05,101933,144457,3,环保设备,1,1/1
001282.SZ,三联锻造,25.3,10.0,131357,131357,0,汽车零部件,1,1/1
001309.SZ,德明利,251.57,10.0,93606,130809,16,半导体,1,1/1
001396.SZ,誉帆科技,54.81,9.99,101642,101642,0,基础建设,1,1/1
002162.SZ,悦心健康,6.08,9.95,102545,102545,0,家居用品,1,1/1
002167.SZ,东方锆业,16.07,9.99,101427,101427,0,小金属,1,1/1
002178.SZ,延华智能,6.68,10.05,132539,132703,1,软件开发,1,1/1
002207.SZ,准油股份,15.03,10.03,142630,144430,3,油服工程,1,1/1
002246.SZ,北化股份,24.11,9.64,95021,,4,化学制品,1,1/1
002272.SZ,川润股份,21.07,10.03,93315,134742,3,通用设备,1,1/1
002339.SZ,积成电子,11.54,10.01,93618,93618,0,电网设备,1,1/1
002357.SZ,富临运业,16.04,10.01,105357,105357,0,铁路公路,1,1/1
002389.SZ,航天彩虹,28.77,10.02,102809,105406,1,航空装备,1,1/1
002490.SZ,山东墨龙,11.72,10.05,92500,93933,2,专用设备,1,1/1
002498.SZ,汉缆股份,8.13,10.01,93824,112236,4,电网设备,1,1/1
002877.SZ,智能自控,9.9,10.0,130324,131000,2,通用设备,1,1/1
002885.SZ,京泉华,31.92,9.99,132224,132224,0,其他电子,1,1/1
300265.SZ,通光线缆,17.88,20.0,95103,95103,0,电网设备,1,1/1
300617.SZ,安靠智电,64.81,20.0,93954,133936,7,电网设备,1,1/1
300880.SZ,迦南智能,23.22,20.0,134654,134654,0,电网设备,1,1/1
301129.SZ,瑞纳智能,29.23,19.99,131445,131445,0,通用设备,1,1/1
301373.SZ,凌玮科技,49.61,20.0,100121,100121,0,化学制品,1,1/1
600108.SH,亚盛集团,5.29,9.98,95902,95932,1,种植业,1,1/1
600149.SH,廊坊发展,6.97,9.94,144906,144906,0,电力,1,1/1
600236.SH,桂冠电力,10.85,10.04,141236,144739,1,电力,1,1/1
600313.SH,农发种业,9.24,10.0,95202,104756,3,种植业,1,1/1
600545.SH,卓郎智能,3.43,9.94,93526,131556,4,专用设备,1,1/1
600759.SH,洲际油气,8.26,9.99,92501,134234,2,油气开采,1,1/1
600821.SH,金开新能,7.87,10.07,93828,133419,3,电力,1,1/1
600871.SH,石化油服,4.27,10.05,92501,150000,2,油服工程,1,1/1
600875.SH,东方电气,38.37,9.07,101347,,2,其他电源,1,1/1
601096.SH,宏盛华源,6.28,9.98,100806,134830,1,专业工程,1,1/1
603045.SH,福达合金,32.41,10.01,144207,144207,0,金属新材,1,1/1
603175.SH,超颖电子,79.64,10.0,100822,100822,0,元件,1,1/1
603316.SH,诚邦股份,14.53,9.99,133637,133637,0,基础建设,1,1/1
603318.SH,水发燃气,10.67,10.0,92502,141435,6,燃气Ⅱ,1,1/1
603530.SH,神马电力,67.21,10.0,95749,131902,1,电网设备,1,1/1
603608.SH,天创时尚,12.23,9.69,134149,,2,服装家纺,1,1/1
603618.SH,杭电股份,20.59,9.99,134024,134024,0,电网设备,1,1/1
605196.SH,华通线缆,54.34,10.0,100041,143508,4,电网设备,1,1/1
605268.SH,王力安防,11.52,10.03,95406,95406,0,家居用品,1,1/1
688176.SH,亚虹医药-U,13.67,20.02,133326,133730,1,化学制药,1,1/1
688525.SH,佰维存储,175.99,20.0,92503,93239,1,半导体,1,1/1
