ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level,up_down_ratio,up_down_diff,leading_strength,activity_score,composite_strength
BK1627.DC,20260401,综合Ⅲ,东阳光,600673.SH,-0.22,3.63,21321608.1,1.96,10,5,行业板块,东财三级行业,0.6666666666666666,5,2.42,1.3066666666666666,20.679333333333332
BK1626.DC,20260401,稀土,中稀有色,600259.SH,1.81,2.53,29380388.8,2.45,4,0,行业板块,东财三级行业,1.0,4,2.53,2.45,31.538999999999998
BK1625.DC,20260401,钨,中钨高新,000657.SZ,0.5,2.43,24862779.7,3.71,3,1,行业板块,东财三级行业,0.75,2,1.8225000000000002,2.7824999999999998,23.570999999999998
BK1624.DC,20260401,其他小金属,宝武镁业,002182.SZ,1.38,6.1,43573366.4,4.21,11,4,行业板块,东财三级行业,0.7333333333333333,7,4.473333333333333,3.087333333333333,23.926133333333333
BK1623.DC,20260401,钼,金钼股份,601958.SH,2.85,2.85,10712800.5,3.45,1,1,行业板块,东财三级行业,0.5,0,1.425,1.725,16.485
BK1622.DC,20260401,镍,华友钴业,603799.SH,2.67,2.67,11437266.8,3.15,1,0,行业板块,东财三级行业,1.0,1,2.67,3.15,31.964999999999996
BK1621.DC,20260401,锂,中矿资源,002738.SZ,-1.89,0.39,42507326.4,4.9,1,7,行业板块,东财三级行业,0.125,-6,0.04875,0.6125,3.31525
BK1620.DC,20260401,钴,腾远钴业,301219.SZ,2.51,2.75,3130516.6,2.28,2,0,行业板块,东财三级行业,1.0,2,2.75,2.28,31.759
BK1619.DC,20260401,其他金属新材料,图南股份,300855.SZ,1.3,5.0,20740011.7,2.09,16,3,行业板块,东财三级行业,0.8421052631578947,13,4.2105263157894735,1.7599999999999998,26.847263157894737
BK1618.DC,20260401,磁性材料,龙磁科技,300835.SZ,2.68,8.89,17357180.0,2.03,13,1,行业板块,东财三级行业,0.9285714285714286,12,8.255,1.8849999999999998,30.689142857142855
BK1617.DC,20260401,黄金,赤峰黄金,600988.SH,2.07,5.1,64610764.8,2.69,8,1,行业板块,东财三级行业,0.8888888888888888,7,4.533333333333332,2.391111111111111,28.67255555555555
BK1616.DC,20260401,白银,兴业银锡,000426.SZ,2.12,3.31,13536015.8,5.85,3,0,行业板块,东财三级行业,1.0,3,3.31,5.85,32.467999999999996
BK1615.DC,20260401,铜,盛屯矿业,600711.SH,2.75,6.87,190435443.2,2.17,13,4,行业板块,东财三级行业,0.7647058823529411,9,5.253529411764705,1.6594117647058821,25.148764705882346
BK1614.DC,20260401,铅锌,豫光金铅,600531.SH,1.32,2.05,23127581.3,2.04,11,1,行业板块,东财三级行业,0.9166666666666666,10,1.8791666666666664,1.8699999999999999,28.645833333333332
