序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000020,深华发Ａ,10.010374069213867,21.21,68976659,3842517943.11,6005849730.72,1.7950900793075562,585714531,092500,092500,0,4/4,4,光学光电
2,002109,兴化股份,10.0,5.28,411100752,6738704813.280001,6738704839.68,6.100769519805908,65830126,092500,092500,0,1/1,1,化学原料
3,000601,韶能股份,9.955423355102539,7.4,238896376,7766499111.8,7876140627.200001,3.0759854316711426,364670564,092500,092500,0,2/2,2,电力
4,603687,大胜达,10.036166191101074,12.17,59762379,6693887784.88,6693887882.24,0.8927902579307556,330908007,092503,092503,0,2/2,2,包装印刷
5,600396,华电辽能,10.058026313781738,5.69,1029183568,8379701788.7300005,8379701783.040001,12.510908126831055,151881070,093106,093621,4,10/5,4,电力
6,000815,美利云,10.022778511047363,19.32,1366534432,13432481836.2,13432481932.800001,10.314397811889648,308871641,093109,093406,1,2/2,2,IT服务Ⅱ
7,000539,粤电力Ａ,9.98217487335205,6.17,845069168,15766737166.83,32394252477.44,5.431243419647217,43161031,093151,093333,2,2/2,2,电力
8,600666,奥瑞德,9.909910202026367,4.88,1347221728,11808394322.8,13427063272.96,11.764391899108887,209237695,093358,093358,0,2/2,2,光学光电
9,603366,日出东方,10.030706405639648,10.75,742072304,8740267085.75,8740267032.0,8.60595703125,176321532,093433,100348,1,1/1,1,厨卫电器
10,601015,陕西黑猫,10.064239501953125,5.14,996962384,10498437864.46,10498437828.48,9.590865135192871,78749364,093436,095556,2,1/1,1,焦炭Ⅱ
11,600979,广安爱众,9.961685180664062,5.74,648095888,7073171194.6,7241911134.08,9.358600616455078,91063986,093711,093711,0,1/1,1,电力
12,601218,吉鑫科技,10.074073791503906,7.43,948508080,7199918994.16,7199919053.599999,13.587045669555664,169537138,094157,094157,0,1/1,1,风电设备
13,600186,莲花控股,10.061920166015625,7.11,2069291568,12657849749.01,12746556590.400002,16.600217819213867,18469647,094735,145323,4,1/1,1,调味发酵
14,603629,利通电子,10.0032320022583,68.07,2209926912,17483915640.0,17860206600.0,13.036996841430664,110620488,094910,134222,3,1/1,1,消费电子
15,002432,九安医疗,10.008339881896973,65.95,4572463104,28913116879.15,30665153482.4,16.01804542541504,110622881,095027,144703,10,2/2,2,医疗器械
16,001258,立新能源,9.978541374206543,10.25,753380608,9566566736.0,9566666612.0,8.06832504272461,168855425,095030,095030,0,1/1,1,电力
17,600996,贵广网络,9.953703880310059,9.5,686126608,11844598613.0,11844598632.0,5.931463718414307,104272703,095636,095636,0,1/1,1,电视广播
18,300895,铜牛信息,19.993711471557617,76.34,2056850800,10548069870.36,10748722155.380001,20.58538818359375,72055646,100006,131709,7,1/1,1,IT服务Ⅱ
19,605389,长龄液压,9.995716094970703,77.03,231646126,10496628522.8,11099027002.1,2.2510793209075928,98001186,100840,100840,0,1/1,1,工程机械
20,002310,东方新能,10.10452938079834,3.16,967376480,13268997105.720001,18957857873.920002,7.688225746154785,156930340,102127,102127,0,4/2,1,电力
21,603130,云中马,10.012063026428223,45.6,192345093,6270647520.0,6270647520.0,3.166109323501587,14359440,102611,102611,0,1/1,1,纺织制造
22,600617,国新能源,10.0,3.63,482084352,6445219961.07,7002966146.88,7.680316925048828,77897476,102751,104427,1,1/1,1,燃气Ⅱ
23,600726,华电能源,10.087719917297363,5.02,2404802048,37526187764.159996,39694827683.84,6.772644519805908,22797727,103911,145653,6,8/5,1,电力
24,000968,蓝焰控股,9.977578163146973,9.81,795919728,9491201094.6,9491201055.36,8.767897605895996,176823268,133636,133636,0,1/1,1,油气开采
25,300332,天壕能源,20.0,7.14,1314738176,5925848933.34,6176976792.0,24.048128128051758,105564921,134003,134003,0,1/1,1,燃气Ⅱ
26,605169,洪通燃气,10.0,14.19,242586188,4014067200.0,4014067200.0,6.2003703117370605,6516048,134320,135453,4,1/1,1,燃气Ⅱ
27,000617,中油资本,9.958932876586914,10.71,5737992448,135396666936.09001,135396665832.96,4.4167070388793945,372763916,135309,135309,0,4/2,1,多元金融
28,002902,铭普光磁,10.009182929992676,23.96,913343904,4256068614.1600003,5630817125.52,22.331436157226562,167333237,140906,140906,0,1/1,1,通信设备
