trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,概念,BK0699.DC,全息技术,-2.17,2953.21,-20683.5504,3.5,239278912.0,2.79,60613456.0,0.71,-93056848.0,-1.09,-206835504.0,-2.42,华工科技,8,-9305.6848,6061.3456,-23927.889600000002
20260403,概念,BK1010.DC,磷化工,-3.04,991.24,123891.7632,-5.4,-486887792.0,-2.49,-568424048.0,-2.91,-217660672.0,-1.11,1238917632.0,6.34,宏达股份,15,-21766.0672,-56842.4048,45283.2912
20260403,行业,BK1480.DC,机场,-1.58,1984.87,2938.0707,-8.79,-5664388.0,-1.33,-31743047.0,-7.46,8026727.0,1.89,29380707.0,6.9,深圳机场,37,802.6727,-3174.3047,566.4387000000002
20260403,行业,BK1318.DC,光伏主材,-3.6,13573.4,87290.3328,-19.33,-392447552.0,-9.7,-390200304.0,-9.64,-90255472.0,-2.23,872903328.0,21.56,弘元绿能,43,-9025.5472,-39020.0304,39244.7552
20260403,概念,BK1129.DC,数字水印,-1.87,1089.74,-31350.4544,3.71,-3498992.0,-0.05,279669328.0,3.76,37334208.0,0.5,-313504544.0,-4.21,东方国信,9,3733.4208,27966.9328,349.89919999999984
20260403,概念,BK0592.DC,铁路基建,-2.47,2815.49,85684.1216,-3.65,-764213088.0,-2.62,-299579392.0,-1.03,163823872.0,0.56,856841216.0,2.94,中天科技,16,16382.3872,-29957.9392,72108.56959999999
20260403,行业,BK1488.DC,跨境物流,-2.82,1753.14,1626.7824,-4.79,-9003830.0,-1.11,-29906710.0,-3.68,12896194.0,1.59,16267824.0,2.0,永泰运,38,1289.6194,-2990.671,-74.26919999999973
20260403,行业,BK1247.DC,基础建设,-2.86,2313.95,58331.3952,-5.95,-423653168.0,-3.21,-360027008.0,-2.73,206076816.0,1.56,583313952.0,4.43,汇绿生态,44,20607.6816,-36002.7008,42936.376
20260403,概念,BK0860.DC,边缘计算,-1.42,2143.06,-2603.9552,0.46,707224064.0,1.21,-441015552.0,-0.76,-248494848.0,-0.43,-26039552.0,-0.04,东方国信,10,-24849.4848,-44101.5552,-71554.9952
20260403,概念,BK0994.DC,空间站概念,-2.13,2472.1,97734.9664,-11.84,-628997008.0,-6.9,-449513216.0,-4.93,101160560.0,1.11,977349664.0,10.73,永新光学,17,10116.056,-44951.3216,62899.7008
20260403,行业,BK1612.DC,农商行Ⅲ,-1.38,462.07,1803.3936,-2.93,-36828016.0,-2.76,-2223216.0,-0.17,21017296.0,1.58,18033936.0,1.35,渝农商行,39,2101.7296,-222.3216,3682.8016
20260403,行业,BK1326.DC,半导体设备,-0.67,28974.08,33384.3744,-7.3,-364788560.0,-3.39,-419695664.0,-3.9,450640640.0,4.19,333843744.0,3.11,先锋精科,45,45064.064,-41969.5664,36478.871999999996
