trade_date,content_type,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate,buy_sm_amount_stock,rank,net_mamount,net_damount,total_net_amount
20260403,地域,BK0157.DC,湖北板块,-1.66,20997.55,-64589.7216,2.43,1154029568.0,1.59,614536192.0,0.84,-1196577792.0,-1.65,-645897216.0,-0.89,光迅科技,1,-119657.7792,61453.6192,-122793.88160000001
20260403,地域,BK0163.DC,青海板块,-0.24,5698.3,8434.304,1.96,176947968.0,2.75,-51113360.0,-0.8,-210177648.0,-3.27,84343040.0,1.31,远东股份,2,-21017.7648,-5111.336,-17694.7968
20260403,地域,BK0175.DC,内蒙古,-2.3,27472.08,38574.4128,-0.04,-13363056.0,-0.09,6807056.0,0.05,-395338880.0,-2.63,385744128.0,2.57,包钢股份,3,-39533.888,680.7056,-278.76960000000076
20260403,地域,BK0171.DC,云南板块,-2.5,18647.07,75847.04,-1.59,191872832.0,1.14,-460037424.0,-2.73,-499340544.0,-2.96,758470400.0,4.5,云南锗业,4,-49934.0544,-46003.7424,-20090.75680000001
20260403,地域,BK0174.DC,西藏板块,-2.19,25461.11,30402.1216,-6.5,-101530192.0,-2.11,-211394736.0,-4.39,8903712.0,0.18,304021216.0,6.31,灵康药业,5,890.3712,-21139.4736,10153.019199999999
20260403,地域,BK0148.DC,吉林板块,-3.18,20750.03,29932.2208,-4.44,-161931344.0,-1.98,-201305424.0,-2.46,33145792.0,0.41,299322208.0,3.66,通化东宝,6,3314.5792,-20130.5424,13116.257600000004
20260403,地域,BK0162.DC,宁夏板块,-3.35,9718.7,32423.336,-4.94,-40818880.0,-0.54,-332904224.0,-4.4,12643824.0,0.17,324233360.0,4.28,宁夏建材,7,1264.3824,-33290.4224,397.2959999999948
20260403,地域,BK0154.DC,广西板块,-3.46,9822.8,19377.6144,-5.29,-276226176.0,-3.9,-98444304.0,-1.39,162051840.0,2.29,193776144.0,2.74,润建股份,8,16205.184,-9844.4304,25738.368000000002
20260403,地域,BK0147.DC,新疆板块,-2.9,22651.14,90993.0496,-1.14,849223424.0,2.58,-1224785152.0,-3.72,-547197952.0,-1.66,909930496.0,2.76,中油资本,9,-54719.7952,-122478.5152,-86205.26079999999
20260403,地域,BK0152.DC,甘肃板块,-2.66,20191.48,43492.248,-6.1,-186599728.0,-2.94,-200875984.0,-3.16,-47446752.0,-0.75,434922480.0,6.85,甘肃能源,10,-4744.6752,-20087.5984,18659.974400000003
