ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300812.SZ,2026-04-03,34.99,40.5,34.99,40.5,33.75,6.75,20.0,224913.42,850450.986
300812.SZ,2026-04-02,33.77,34.81,33.43,33.75,33.9,-0.15,-0.4425,105789.0,360586.418
300812.SZ,2026-04-01,34.01,34.65,33.5,33.9,33.03,0.87,2.634,61692.0,209839.054
300812.SZ,2026-03-31,34.29,34.53,32.78,33.03,34.61,-1.58,-4.5652,71282.2,238784.208
300812.SZ,2026-03-30,33.7,35.16,33.09,34.61,33.98,0.63,1.854,76345.2,259962.933
300812.SZ,2026-03-27,33.0,34.58,32.6,33.98,33.66,0.32,0.9507,64903.6,219677.89
300812.SZ,2026-03-26,34.96,35.4,33.55,33.66,35.32,-1.66,-4.6999,87655.82,299682.866
300812.SZ,2026-03-25,34.25,37.98,34.25,35.32,33.43,1.89,5.6536,146358.6,526252.232
300812.SZ,2026-03-24,33.01,33.55,31.93,33.43,32.23,1.2,3.7232,63455.2,207777.752
300812.SZ,2026-03-23,33.49,33.89,31.8,32.23,34.58,-2.35,-6.7958,87030.85,286268.582
300812.SZ,2026-03-20,36.27,36.87,34.45,34.58,35.41,-0.83,-2.344,83613.2,298096.836
300812.SZ,2026-03-19,36.27,36.79,35.3,35.41,36.6,-1.19,-3.2514,66065.4,237112.626
300812.SZ,2026-03-18,35.38,36.76,35.28,36.6,35.21,1.39,3.9477,82253.39,297524.647
300812.SZ,2026-03-17,37.83,37.83,35.18,35.21,37.4,-2.19,-5.8556,109880.01,394402.226
300812.SZ,2026-03-16,38.17,38.48,36.95,37.4,38.25,-0.85,-2.2222,87022.25,325845.516
300812.SZ,2026-03-13,37.5,39.85,37.5,38.25,37.81,0.44,1.1637,144214.2,557830.037
300812.SZ,2026-03-12,40.01,40.2,37.52,37.81,40.03,-2.22,-5.5458,155761.02,598064.155
300812.SZ,2026-03-11,41.29,42.85,39.86,40.03,41.51,-1.48,-3.5654,167896.3,689325.122
300812.SZ,2026-03-10,40.69,42.7,40.49,41.51,39.69,1.82,4.5855,201003.6,834228.024
300812.SZ,2026-03-09,40.34,40.59,37.5,39.69,43.09,-3.4,-7.8905,225685.1,879383.784
300812.SZ,2026-03-06,45.61,45.99,42.5,43.09,46.8,-3.71,-7.9274,217384.8,947249.871
300812.SZ,2026-03-05,48.37,50.95,46.32,46.8,48.29,-1.49,-3.0855,314467.16,1527792.785
300812.SZ,2026-03-04,42.34,49.3,42.34,48.29,43.76,4.53,10.3519,277845.82,1303571.133
