ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600227.SH,2026-03-27,3.77,4.27,3.77,4.27,3.88,0.39,10.0515,3202950.28,1342562.289
600227.SH,2026-03-26,4.08,4.16,3.83,3.88,3.98,-0.1,-2.5126,3145410.36,1252290.299
600227.SH,2026-03-25,3.83,4.09,3.83,3.98,4.02,-0.04,-0.995,2789448.72,1104007.841
600227.SH,2026-03-24,3.9,4.04,3.68,4.02,3.87,0.15,3.876,3225310.02,1248752.459
600227.SH,2026-03-23,4.07,4.29,3.83,3.87,4.26,-0.39,-9.1549,3218112.79,1300580.131
600227.SH,2026-03-20,4.4,4.66,4.22,4.26,4.67,-0.41,-8.7794,3089743.48,1355262.377
600227.SH,2026-03-19,5.3,5.35,4.55,4.67,5.0,-0.33,-6.6,3638074.65,1783706.091
600227.SH,2026-03-18,5.29,5.4,4.77,5.0,5.29,-0.29,-5.482,4060388.04,2048959.225
600227.SH,2026-03-17,4.6,5.29,4.6,5.29,4.81,0.48,9.9792,4595402.98,2315337.474
600227.SH,2026-03-16,4.5,4.81,4.42,4.81,4.37,0.44,10.0686,4404569.93,2089693.209
600227.SH,2026-03-13,3.96,4.37,3.96,4.37,3.97,0.4,10.0756,3981515.44,1707365.839
600227.SH,2026-03-12,4.04,4.28,3.88,3.97,4.05,-0.08,-1.9753,3738332.06,1521880.264
600227.SH,2026-03-11,3.73,4.15,3.69,4.05,3.83,0.22,5.7441,4047593.08,1563795.901
600227.SH,2026-03-10,3.5,3.98,3.4,3.83,3.62,0.21,5.8011,4405007.15,1643989.305
600227.SH,2026-03-09,3.62,3.62,3.46,3.62,3.29,0.33,10.0304,2484429.19,896108.882
600227.SH,2026-03-06,2.92,3.29,2.91,3.29,2.99,0.3,10.0334,1776887.85,559736.011
600227.SH,2026-03-05,3.06,3.13,2.92,2.99,3.2,-0.21,-6.5625,1780654.38,533310.262
600227.SH,2026-03-04,3.14,3.38,2.99,3.2,3.32,-0.12,-3.6145,2234812.86,704704.253
600227.SH,2026-03-03,3.45,3.49,3.3,3.32,3.17,0.15,4.7319,3703616.34,1262135.969
600227.SH,2026-03-02,3.16,3.17,3.0,3.17,2.88,0.29,10.0694,1503694.37,470888.031
600227.SH,2026-02-27,2.84,2.96,2.83,2.88,2.86,0.02,0.6993,1133961.01,326437.927
600227.SH,2026-02-26,2.95,3.09,2.83,2.86,2.95,-0.09,-3.0508,2308477.16,676602.039
600227.SH,2026-02-25,2.77,2.95,2.76,2.95,2.68,0.27,10.0746,991834.76,289163.253
