trade_date,代码,名称,涨跌幅,最新价,成交额,流通市值,所属行业,首次封板时间,最后封板时间,炸板次数,连板数
20260403,000586,汇源通信,10.03,18.87,78843917.0,3650212800.0,通信设备,92500,92500,0,2.0
20260403,000720,新能泰山,10.0,5.94,1680827360.0,7463797531.74,电网设备,100033,100221,2,2.0
20260403,000950,重药控股,10.02,7.14,1088612704.0,12339238729.44,医药商业,93127,94354,2,2.0
20260403,002222,福晶科技,10.0,75.46,3608571168.0,35326728338.44,光学光电,102948,130524,3,1.0
20260403,002678,珠江钢琴,9.96,6.07,354342704.0,8240476899.36,文娱用品,101627,130357,2,1.0
20260403,002792,通宇通讯,10.0,45.34,2856261264.0,15316962013.88,通信设备,93124,95106,4,1.0
20260403,002796,世嘉科技,10.0,50.59,1233635408.0,11519757989.77,通信设备,131415,131415,0,1.0
20260403,002831,裕同科技,10.01,35.29,763282032.0,18032950698.51,包装印刷,100851,130021,1,1.0
20260403,002952,亚世光电,10.0,25.18,263736247.0,3314821905.76,光学光电,133130,133130,0,1.0
20260403,002980,华盛昌,10.0,46.09,543527472.0,4673062518.96,电网设备,95824,95824,0,1.0
20260403,003007,直真科技,10.01,44.06,262294903.0,3167369242.16,软件开发,100300,102012,2,1.0
20260403,003031,中瓷电子,10.0,88.57,1632018560.0,30127678564.72,通信设备,103442,131018,1,1.0
20260403,300006,莱美药业,20.07,6.52,1472216320.0,6883952254.96,化学制药,103418,131812,2,1.0
20260403,300608,思特奇,20.0,12.9,499598864.0,3709742306.7,软件开发,95642,95642,0,1.0
20260403,300626,华瑞股份,20.01,24.59,739771104.0,4423778499.75,电机Ⅱ,94609,140712,7,1.0
20260403,300812,易天股份,20.0,40.5,850450992.0,3754676308.5,消费电子,101300,101300,0,1.0
20260403,600056,中国医药,9.96,11.59,1791958240.0,17331123630.02,医药商业,101032,131023,4,1.0
20260403,600106,重庆路桥,9.93,5.87,210129997.0,7801377113.94,铁路公路,103249,104025,1,1.0
20260403,600302,标准股份,10.04,12.27,214100445.0,4245540295.08,专用设备,145544,145544,0,1.0
20260403,600488,津药药业,9.94,6.97,652492192.0,7610450159.6,化学制药,93024,93024,0,6.0
20260403,600602,云赛智联,10.01,24.39,2916346368.0,26202249926.1,软件开发,133813,143855,1,1.0
