ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1627.DC,20260401,综合Ⅲ,东阳光,600673.SH,-0.22,3.63,21321608.1,1.96,10,5,行业板块,东财三级行业
BK1626.DC,20260401,稀土,中稀有色,600259.SH,1.81,2.53,29380388.8,2.45,4,0,行业板块,东财三级行业
BK1625.DC,20260401,钨,中钨高新,000657.SZ,0.5,2.43,24862779.7,3.71,3,1,行业板块,东财三级行业
BK1624.DC,20260401,其他小金属,宝武镁业,002182.SZ,1.38,6.1,43573366.4,4.21,11,4,行业板块,东财三级行业
BK1623.DC,20260401,钼,金钼股份,601958.SH,2.85,2.85,10712800.5,3.45,1,1,行业板块,东财三级行业
BK1622.DC,20260401,镍,华友钴业,603799.SH,2.67,2.67,11437266.8,3.15,1,0,行业板块,东财三级行业
BK1621.DC,20260401,锂,中矿资源,002738.SZ,-1.89,0.39,42507326.4,4.9,1,7,行业板块,东财三级行业
BK1620.DC,20260401,钴,腾远钴业,301219.SZ,2.51,2.75,3130516.6,2.28,2,0,行业板块,东财三级行业
BK1619.DC,20260401,其他金属新材料,图南股份,300855.SZ,1.3,5.0,20740011.7,2.09,16,3,行业板块,东财三级行业
BK1618.DC,20260401,磁性材料,龙磁科技,300835.SZ,2.68,8.89,17357180.0,2.03,13,1,行业板块,东财三级行业
BK1617.DC,20260401,黄金,赤峰黄金,600988.SH,2.07,5.1,64610764.8,2.69,8,1,行业板块,东财三级行业
BK1616.DC,20260401,白银,兴业银锡,000426.SZ,2.12,3.31,13536015.8,5.85,3,0,行业板块,东财三级行业
BK1615.DC,20260401,铜,盛屯矿业,600711.SH,2.75,6.87,190435443.2,2.17,13,4,行业板块,东财三级行业
BK1614.DC,20260401,铅锌,豫光金铅,600531.SH,1.32,2.05,23127581.3,2.04,11,1,行业板块,东财三级行业
BK1613.DC,20260401,铝,丽岛新材,603937.SH,0.69,10.01,112930244.8,2.98,23,7,行业板块,东财三级行业
BK1612.DC,20260401,农商行Ⅲ,张家港行,002839.SZ,-0.05,0.67,27428606.4,0.85,4,3,行业板块,东财三级行业
BK1611.DC,20260401,国有大型银行Ⅲ,交通银行,601328.SH,-0.54,0.14,1063957222.4,0.15,1,4,行业板块,东财三级行业
BK1610.DC,20260401,股份制银行Ⅲ,招商银行,600036.SH,0.32,1.27,297786921.6,0.46,5,3,行业板块,东财三级行业
BK1609.DC,20260401,城商行Ⅲ,青岛银行,002948.SZ,0.04,1.93,125801955.2,0.58,8,8,行业板块,东财三级行业
BK1608.DC,20260401,中药Ⅲ,益佰制药,600594.SH,2.25,10.1,84911961.6,1.96,65,2,行业板块,东财三级行业
