序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002490,山东墨龙,10.046948432922363,11.72,1099410624,6348981840.0,9350783248.0,17.388851165771484,117840486,092500,093933,2,7/4,3,专用设备
2,600759,洲际油气,9.986684799194336,8.26,5433027840,34226844542.8,34270816652.8,15.881464004516602,559108653,092501,134234,2,7/5,3,油气开采
3,600871,石化油服,10.051546096801758,4.27,5116237568,57845742738.77,80946585395.2,9.231719017028809,10787625,092501,150000,2,7/4,3,油服工程
4,603318,水发燃气,10.0,10.67,1758745040,4898286759.08,4898286801.76,36.56828308105469,22636042,092502,141435,6,4/4,4,燃气Ⅱ
5,688525,佰维存储,19.99863624572754,175.99,6534871552,82210509642.90001,82210509994.88,7.991421699523926,808979744,092503,093239,1,1/1,1,半导体
6,000533,顺钠股份,10.017889022827148,12.3,701868480,8424299520.000001,8497036800.000001,8.393006324768066,185046771,093136,093336,2,1/1,1,电网设备
7,002272,川润股份,10.02610969543457,21.07,2999496656,8143404307.36,10216364626.72,37.52440643310547,83451000,093315,134742,3,1/1,1,通用设备
8,600545,卓郎智能,9.935897827148438,3.43,590900416,6132538921.46,6132538928.320001,9.757852554321289,41683075,093526,131556,4,1/1,1,专用设备
9,001309,德明利,10.0,251.57,4878285312,40471558716.38,57067562183.06,12.161812782287598,131317275,093606,130809,16,1/1,1,半导体
10,002339,积成电子,10.009532928466797,11.54,353268752,5525278190.16,5817224818.879999,6.52254581451416,105424870,093618,093618,0,1/1,1,电网设备
11,002498,汉缆股份,10.013531684875488,8.13,1857917680,27046851480.000004,27046851480.000004,6.983823776245117,118204378,093824,112236,4,9/5,1,电网设备
12,600821,金开新能,10.069930076599121,7.87,2237801776,15718463375.11,15718463398.72,14.525784492492676,116078171,093828,133419,3,4/2,1,电力
13,300617,安靠智电,19.99629783630371,64.81,1754177600,9003646552.44,10739513703.84,20.080066680908203,46523534,093954,133936,7,1/1,1,电网设备
14,300265,通光线缆,20.0,17.88,1371381568,8355354574.799999,8360711744.639999,17.230470657348633,146017985,095103,095103,0,1/1,1,电网设备
15,600313,农发种业,10.0,9.24,1997836608,9999515646.12,10731095464.32,20.3508243560791,75246864,095202,104756,3,1/1,1,种植业
16,605268,王力安防,10.028653144836426,11.52,103976968,5042260800.0,5141404753.92,2.097440004348755,66132864,095406,095406,0,1/1,1,家居用品
