2026-06-18 00:22:57.619 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 00:22:57.623 | INFO     | __main__:run_daily_analysis:70 - 开始执行 20260618 的日度分析（ETL 指标体系主路径）...
2026-06-18 00:22:57.623 | INFO     | __main__:run_daily_analysis:71 - 对比日期: 20260617
2026-06-18 00:22:57.631 | INFO     | core.etl.daily_pipeline:run:80 - [ETL] 开始 ETL 主流程: 20260618, prev=20260617
2026-06-18 00:22:59.670 | ERROR    | core.data.data_manager_market:get_limit_up_pool:175 - [get_limit_up_pool] 获取 20260618 涨停池数据失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Max retries exceeded with url: http://api.waditu.com/dataapi/limit_list_d (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPConnection(host='127.0.0.1', port=1099): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-06-18 00:23:12.136 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 00:23:12.137 | INFO     | __main__:run_daily_analysis:70 - 开始执行 20260617 的日度分析（ETL 指标体系主路径）...
2026-06-18 00:23:12.137 | INFO     | __main__:run_daily_analysis:71 - 对比日期: 20260616
2026-06-18 00:23:12.144 | INFO     | core.etl.daily_pipeline:run:80 - [ETL] 开始 ETL 主流程: 20260617, prev=20260616
2026-06-18 00:23:14.190 | ERROR    | core.data.data_manager_market:get_limit_up_pool:175 - [get_limit_up_pool] 获取 20260617 涨停池数据失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Max retries exceeded with url: http://api.waditu.com/dataapi/limit_list_d (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPConnection(host='127.0.0.1', port=1099): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-06-18 00:23:16.313 | ERROR    | core.data.data_manager_stock:get_all_stocks_daily:228 - [get_all_stocks_daily] 20260617 获取失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Max retries exceeded with url: http://api.waditu.com/dataapi/daily (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPConnection(host='127.0.0.1', port=1099): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-06-18 00:23:16.313 | INFO     | core.data.data_prep:_prefetch_all_daily:208 - [DataPrep] all_daily 预取：0 行 @ 20260617
2026-06-18 00:23:18.362 | ERROR    | core.data.data_manager_market:get_stock_basic:63 - [get_stock_basic] 获取股票基础资料失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Max retries exceeded with url: http://api.waditu.com/dataapi/stock_basic (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPConnection(host='127.0.0.1', port=1099): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-06-18 00:23:20.407 | ERROR    | core.data.data_manager_market:get_daily_basic:38 - Tushare获取daily_basic失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Max retries exceeded with url: http://api.waditu.com/dataapi/daily_basic (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPConnection(host='127.0.0.1', port=1099): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-06-18 00:23:22.453 | ERROR    | core.data.data_manager_market:get_limit_up_pool:175 - [get_limit_up_pool] 获取 20260617 涨停池数据失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Max retries exceeded with url: http://api.waditu.com/dataapi/limit_list_d (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPConnection(host='127.0.0.1', port=1099): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-06-18 00:23:22.939 | INFO     | core.data.data_prep:_prefetch_limit_up:295 - [DataPrep] limit_up 预取：16 个交易日，非空 15 个
2026-06-18 00:23:24.981 | ERROR    | core.data.data_manager_sector:get_ths_index:47 - [get_ths_index] 获取同花顺板块指数异常: HTTPConnectionPool(host='127.0.0.1', port=1099): Max retries exceeded with url: http://api.waditu.com/dataapi/ths_index (Caused by ProxyError('Unable to connect to proxy', NewConnectionError("HTTPConnection(host='127.0.0.1', port=1099): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。")))
2026-06-18 12:03:24.113 | INFO     | config.config_loader:_load_all_configs:54 - [ConfigLoader] 加载配置: emotion_cycle_config.yaml
2026-06-18 12:03:24.120 | INFO     | config.config_loader:_load_all_configs:54 - [ConfigLoader] 加载配置: sector_tracker_config.yaml
2026-06-18 12:03:24.176 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/factor_registry.yaml
2026-06-18 12:03:24.180 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer1_market_env.yaml
2026-06-18 12:03:24.184 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/emotion_cycle.yaml
2026-06-18 12:03:24.187 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer2_sector.yaml
2026-06-18 12:03:24.195 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer3_stock_select.yaml
2026-06-18 12:03:24.200 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer4_trade_plan.yaml
2026-06-18 12:03:25.475 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 12:03:25.476 | INFO     | main:run_daily_analysis:70 - 开始执行 20260617 的日度分析（ETL 指标体系主路径）...
2026-06-18 12:03:25.476 | INFO     | main:run_daily_analysis:71 - 对比日期: 20260616
2026-06-18 12:03:25.477 | INFO     | core.etl.daily_pipeline:run:80 - [ETL] 开始 ETL 主流程: 20260617, prev=20260616
2026-06-18 12:03:26.849 | INFO     | core.data.data_manager_market:get_limit_up_pool:170 - [get_limit_up_pool] 获取 20260617 涨停池数据: 86条
2026-06-18 12:03:26.941 | INFO     | core.data.data_manager_market:_append_to_limit_up_summary:376 - 追加86条涨停数据: G:\a_stock_sentiment_system\data\cache\summary\limit_up_stocks.csv
2026-06-18 12:03:27.983 | INFO     | core.data.data_manager_stock:get_all_stocks_daily:225 - [get_all_stocks_daily] 20260617 获取 5509 只股票日线数据
2026-06-18 12:03:27.984 | INFO     | core.data.data_prep:_prefetch_all_daily:208 - [DataPrep] all_daily 预取：5509 行 @ 20260617
2026-06-18 12:03:29.872 | INFO     | core.data.data_manager_market:get_stock_basic:60 - [get_stock_basic] 获取股票基础资料: 5529条
2026-06-18 12:03:29.872 | INFO     | core.data.data_prep:_prefetch_stock_basic:233 - [DataPrep] stock_basic 预取：5529 行
2026-06-18 12:03:31.089 | INFO     | core.data.data_prep:_prefetch_daily_basic:221 - [DataPrep] daily_basic 预取：5509 行 @ 20260617
2026-06-18 12:03:31.629 | INFO     | core.data.data_prep:_prefetch_limit_up:295 - [DataPrep] limit_up 预取：16 个交易日，非空 16 个
2026-06-18 12:03:45.686 | INFO     | core.data.data_manager_market:get_limit_cpt_list:255 - [get_limit_cpt_list] 过滤ST板块后剩余: 20条
2026-06-18 12:03:45.707 | INFO     | core.data.data_manager_market:get_limit_cpt_list:258 - [get_limit_cpt_list] 获取 20260617 最强板块数据: 20条
2026-06-18 12:03:47.166 | INFO     | core.data.data_manager_moneyflow:get_moneyflow_summary:95 - [get_moneyflow_summary] 20260617 全市场资金流向: 5190条
2026-06-18 12:03:47.233 | INFO     | core.data.data_prep:_prefetch_sectors:361 - [DataPrep] 板块/资金流预取：['ths_index', 'ths_daily', 'limit_cpt_list', 'moneyflow_summary']（板块按日窗口 10 天，调用缓存 26 条）
2026-06-18 12:03:47.692 | INFO     | core.data.data_manager_market:get_index_daily:121 - [get_index_daily] 000001.SH 获取 121 条数据
2026-06-18 12:03:48.520 | INFO     | core.data.data_manager_market:get_index_daily:121 - [get_index_daily] 000001.SH 获取 31 条数据
2026-06-18 12:03:48.958 | INFO     | core.data.data_manager_market:get_index_daily:121 - [get_index_daily] 399001.SZ 获取 121 条数据
2026-06-18 12:03:49.986 | INFO     | core.data.data_manager_market:get_index_daily:121 - [get_index_daily] 399001.SZ 获取 31 条数据
2026-06-18 12:03:51.415 | INFO     | core.data.data_manager_market:get_index_daily:121 - [get_index_daily] 399006.SZ 获取 121 条数据
2026-06-18 12:03:51.887 | INFO     | core.data.data_manager_market:get_index_daily:121 - [get_index_daily] 399006.SZ 获取 31 条数据
2026-06-18 12:03:51.888 | INFO     | core.data.data_prep:_prefetch_index_daily:270 - [DataPrep] index_daily 预取：3 指数 × 2 窗口，成功 6 次
2026-06-18 12:03:51.898 | INFO     | core.data.data_manager_stock:get_stocks_daily_batch:577 - [批量获取] 需要获取 184 只股票数据 (并发)
2026-06-18 12:05:03.285 | ERROR    | core.data.data_manager_stock:_fetch_one:592 - [批量获取] 获取 002194 失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Read timed out. (read timeout=30)
2026-06-18 12:05:16.335 | ERROR    | core.data.data_manager_stock:_fetch_one:592 - [批量获取] 获取 002729 失败: HTTPConnectionPool(host='127.0.0.1', port=1099): Read timed out. (read timeout=30)
2026-06-18 12:05:32.937 | INFO     | core.data.data_manager_stock:get_stocks_daily_batch:607 - [批量获取] 完成: 182/184 只股票
2026-06-18 12:05:32.943 | INFO     | core.data.data_prep:_prefetch_daily:195 - [DataPrep] daily 预取：184 只 universe，非空 182 只，窗口 20260217~20260617
2026-06-18 12:05:35.344 | DEBUG    | core.etl.warehouse:write_table:63 - [SilverWarehouse] parquet 写入失败，已降级 CSV stock_daily_silver: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package.
2026-06-18 12:05:35.786 | DEBUG    | core.etl.warehouse:write_table:63 - [SilverWarehouse] parquet 写入失败，已降级 CSV sector_daily_silver: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package.
2026-06-18 12:05:35.985 | DEBUG    | core.etl.warehouse:write_table:63 - [SilverWarehouse] parquet 写入失败，已降级 CSV index_daily_silver: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - `Import pyarrow` failed. pyarrow is required for parquet support. Use pip or conda to install the pyarrow package.
 - `Import fastparquet` failed. fastparquet is required for parquet support. Use pip or conda to install the fastparquet package.
2026-06-18 12:05:36.189 | INFO     | core.etl.warehouse:persist_market_dataset_silver:231 - [SilverWarehouse] Phase1 silver 落盘完成 20260617: quality_ok=True issues=0
2026-06-18 12:05:36.192 | INFO     | core.data.data_prep:build:137 - [DataPrep] MarketDataset(20260617) daily=182 all_daily=1 auction=0 sector_map=0 limit_up=16 prefetched=['all_daily', 'daily', 'daily_basic', 'index_daily', 'limit_cpt_list', 'limit_up', 'moneyflow_summary', 'stock_basic', 'ths_daily', 'ths_index']
2026-06-18 12:05:39.605 | INFO     | snapshot.writer:write:280 - [Snapshot] 20260617 快照已落盘: json, sqlite
2026-06-18 12:06:17.345 | WARNING  | kb.embeddings:embed:51 - [KB] 云嵌入调用失败，回退词法检索: 400 Client Error: Bad Request for url: https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings
2026-06-18 12:06:17.348 | INFO     | kb.ingest:ingest_snapshot:29 - [KB] 20260617 未取得向量，按词法检索入库
2026-06-18 12:06:17.448 | INFO     | kb.ingest:ingest_snapshot:33 - [KB] 20260617 入库 11 块（词法）
2026-06-18 12:06:17.449 | INFO     | core.etl.daily_pipeline:run:126 - [ETL] 主流程完成: ok=True, 候选=10, snapshot=G:\a_stock_sentiment_system\webdata\snapshots\20260617.json
2026-06-18 12:07:53.316 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 12:07:53.362 | INFO     | core.pattern.weak_to_strong:_load_pools:299 - [弱转强] 加载池子: 龙头池17只, 走弱池89只
2026-06-18 12:07:53.362 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:385 - [弱转强-盘中] 开始观测走弱池 89 只，转强阈值=7.0%
2026-06-18 12:07:54.018 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:396 - [弱转强-盘中] 批量取价命中 89/89 只
2026-06-18 12:07:54.023 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 阳光股份(000608.SZ) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.030 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 江南新材(603124.SH) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.032 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 天娱数科(002354.SZ) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.033 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 埃斯顿(002747.SZ) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.035 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 利和兴(301013.SZ) 涨幅7.6% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.036 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 韩建河山(603616.SH) 涨幅10.1% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.036 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 金安国纪(002636.SZ) 涨幅9.2% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.040 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 合锻智能(603011.SH) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.042 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 旭光电子(600353.SH) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.045 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 亨通股份(600226.SH) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.045 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 深桑达Ａ(000032.SZ) 涨幅7.7% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.046 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 铜冠铜箔(301217.SZ) 涨幅9.6% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.047 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 胜科纳米(688757.SH) 涨幅7.2% ≥ 7.0% [盘中转强]
2026-06-18 12:07:54.047 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:459 - [弱转强-盘中] ✓ 转强 三祥新材(603663.SH) 涨幅10.0% ≥ 7.0% [盘中转强]
2026-06-18 12:07:56.123 | INFO     | core.pattern.weak_to_strong:scan_weakening_intraday:474 - [弱转强-盘中] 观测完成：取价89/89，转强命中14只
2026-06-18 12:07:56.133 | INFO     | core.execution.intraday_recovery:run_once:145 - [盘中转强] 第1轮完成：走弱池89只，活跃转强14只，失效0只
2026-06-18 12:08:47.199 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 12:08:47.376 | INFO     | core.data.data_manager_stock:get_stock_tick:277 - [get_stock_tick] eltdx 获取 600226.SH 20260618 分时: 120条
2026-06-18 12:13:06.836 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 12:13:06.853 | INFO     | core.data.data_manager_main:__init__:52 - [DataManager] 初始化完成，缓存目录: G:\a_stock_sentiment_system\data\cache
2026-06-18 12:13:46.110 | INFO     | config.config_loader:_load_all_configs:54 - [ConfigLoader] 加载配置: emotion_cycle_config.yaml
2026-06-18 12:13:46.132 | INFO     | config.config_loader:_load_all_configs:54 - [ConfigLoader] 加载配置: sector_tracker_config.yaml
2026-06-18 12:13:46.248 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/factor_registry.yaml
2026-06-18 12:13:46.262 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer1_market_env.yaml
2026-06-18 12:13:46.266 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/emotion_cycle.yaml
2026-06-18 12:13:46.293 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer2_sector.yaml
2026-06-18 12:13:46.310 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer3_stock_select.yaml
2026-06-18 12:13:46.323 | INFO     | config.config_loader:_load_factor_configs:89 - [ConfigLoader] 加载因子配置: factors/layer4_trade_plan.yaml
2026-06-18 12:13:46.325 | INFO     | config.config_loader:reload_config:251 - [ConfigLoader] 重新加载所有配置
2026-06-18 12:13:46.326 | INFO     | core.factors.factor_registry:_load_registry:137 - [FactorRegistry] 从注册表加载 54 个因子
