模式,代码,名称,动作,介入时机,目标价,止损价,止盈价,仓位,前置条件,取消条件,置信度,理由,加入观察池
弱转强,720,新能泰山,买入,09:24:30-09:25:00,5.01,4.6593,5.511,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,600163,中闽能源,买入,09:24:30-09:25:00,8.29,7.7097,9.119,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,603601,再升科技,买入,09:24:30-09:25:00,13.44,12.4992,14.784,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,722,湖南发展,买入,09:24:30-09:25:00,18.28,17.000400000000003,20.108000000000004,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2902,铭普光磁,买入,09:24:30-09:25:00,28.55,26.5515,31.405000000000005,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,600800,渤海化学,买入,09:24:30-09:25:00,5.21,4.8453,5.731000000000001,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,927,中国铁物,买入,09:24:30-09:25:00,3.34,3.1062,3.674,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,603538,美诺华,买入,09:24:30-09:25:00,35.62,33.126599999999996,39.182,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,2192,融捷股份,买入,09:24:30-09:25:00,70.91,65.9463,78.001,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
弱转强,600726,华电能源,买入,09:24:30-09:25:00,6.77,6.2961,7.447,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,弱转强信号,True
二板定龙,720,新能泰山,买入,09:24:30-09:25:00,5.01,4.6593,5.511,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,722,湖南发展,买入,09:24:30-09:25:00,18.28,17.000400000000003,20.108000000000004,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,2902,铭普光磁,买入,09:24:30-09:25:00,28.55,26.5515,31.405000000000005,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,603601,再升科技,买入,09:24:30-09:25:00,13.44,12.4992,14.784,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,2192,融捷股份,买入,09:24:30-09:25:00,70.91,65.9463,78.001,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,603538,美诺华,买入,09:24:30-09:25:00,35.62,33.126599999999996,39.182,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,600163,中闽能源,买入,09:24:30-09:25:00,8.29,7.7097,9.119,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,927,中国铁物,买入,09:24:30-09:25:00,3.34,3.1062,3.674,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,600726,华电能源,买入,09:24:30-09:25:00,6.77,6.2961,7.447,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
二板定龙,600800,渤海化学,买入,09:24:30-09:25:00,5.21,4.8453,5.731000000000001,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.75,二板定龙信号,True
