模式,代码,名称,动作,介入时机,目标价,止损价,止盈价,仓位,前置条件,取消条件,置信度,理由,加入观察池
二板定龙,002634,棒杰股份,买入,09:24:30-09:25:00,0.0,0.0,0.0,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.9,首板硬板后，次日高开7.0%，93136涨停，二板定龙,True
炸板回封（次日）,600066,宇通客车,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.9,前日炸板回封，次日观察弱转强: 早盘涨停后炸板1次，1分钟回封，换手1.5%，封单强度0.1%,True
炸板回封（次日）,603039,泛微网络,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.9,前日炸板回封，次日观察弱转强: 早盘涨停后炸板1次，1分钟回封，换手2.5%，封单强度0.5%,True
炸板回封（次日）,002342,巨力索具,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.9,前日炸板回封，次日观察弱转强: 早盘涨停后炸板1次，9分钟回封，换手18.5%，封单强度1.3%,True
炸板回封（次日）,600528,中铁工业,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.9,前日炸板回封，次日观察弱转强: 早盘涨停后炸板1次，1分钟回封，换手6.7%，封单强度0.5%,True
二板定龙,000008,神州高铁,买入,09:24:30-09:25:00,0.0,0.0,0.0,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.85,首板硬板后，次日高开9.4%，93118涨停，二板定龙,True
二板定龙,301008,宏昌科技,买入,09:24:30-09:25:00,0.0,0.0,0.0,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.85,首板尾盘板后，次日高开17.6%，131221涨停，二板定龙,True
炸板回封（次日）,600894,广日股份,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.85,前日炸板回封，次日观察弱转强: 早盘涨停后炸板3次，1分钟回封，换手1.8%，封单强度0.6%,True
炸板回封（次日）,600488,津药药业,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.85,前日炸板回封，次日观察弱转强: 早盘涨停后炸板2次，2分钟回封，换手8.2%，封单强度1.0%,True
炸板回封（次日）,605299,舒华体育,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.85,前日炸板回封，次日观察弱转强: 早盘涨停后炸板2次，2分钟回封，换手10.2%，封单强度0.8%,True
龙二波,000720,新能泰山,买入,09:24:30-09:25:00,0.0,4.39,0.0,medium,启动日：首板打板确认; 次日：高开2%+竞价量8%,低开; 跌破10日线; 无板块支持,0.82,近期4板龙头，调整4天后二波启动,True
二板定龙,002578,闽发铝业,买入,09:24:30-09:25:00,0.0,0.0,0.0,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.8,首板尾盘板后，次日高开9.6%，93003涨停，二板定龙,True
二板定龙,600502,安徽建工,买入,09:24:30-09:25:00,0.0,0.0,0.0,medium,次日高开3%-7%; 竞价量>前日10%; 竞价价格向上,低开或平开; 竞价量<5%; 同板块已有2只二板,0.8,首板尾盘板后，次日高开6.1%，100956涨停，二板定龙,True
炸板回封（次日）,000863,三湘印象,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.8,前日炸板回封，次日观察弱转强: 早盘涨停后炸板1次，16分钟回封，换手3.3%，封单强度0.8%,True
弱转强,600488,津药药业,买入,09:24:30-09:25:00,0.0,0.0,0.0,heavy,次日高开2%-7%; 竞价量>8%; 竞价价格向上,低开或平开; 开盘后回踩>2%; 10分钟未上板,0.75,3板烂板后转强，次日高开4.8%竞价量0.0%,True
炸板回封（次日）,600495,晋西车轴,观察,09:24:30-09:25:00,0.0,0.0,0.0,light,次日高开2%+; 竞价量>8%; 不跌破昨日收盘价,低开; 开盘后跌破昨日最低价; 10分钟未翻红,0.7,前日炸板回封，次日观察弱转强: 早盘涨停后炸板2次，20分钟回封，换手5.9%，封单强度1.0%,True
首板突破,003033,征和工业,买入,09:31-10:00,60.61,56.37,66.67,light,9:40前涨停; 封单持续增加; 板块效应明显,涨停时间>10:00; 反复炸板; 板块跟风不足,0.84,首板突破+摩托车及热点+5日涨幅12.6%+量比3.9+封单强度2.2%+突破均线,True
