exit_date,entry_date,stock_code,stock_name,pattern_type,action,exit_reason,shares,pnl,pnl_pct,holding_days,stop_loss_triggered,take_profit_triggered,plan_rank,plan_score,plan_reason,factor_metrics_json,factor_stk_liquidity_percentile,factor_stk_new_high_20d,factor_tech_score
20260109,20260106,603986,兆易创新,指标筛选/default,SELL,trailing_stop,600,6406.765398000018,0.044762323705645944,3,False,True,2,94.934,综合评分 94.9，候选排名第 2；当日涨幅 +10.00%，短线强度已确认；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.78009895547004, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.78009895547004,88.23529411764706,94.70588235294119
20260113,20260106,601698,中国卫通,指标筛选/default,SELL,trailing_stop,3700,30555.085018200014,0.20608244216127775,5,False,True,3,94.917,综合评分 94.9，候选排名第 3；当日涨幅 +9.99%，短线强度已确认；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.76177386842588, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.68278235294117}",99.76177386842588,88.23529411764706,94.68278235294117
20260113,20260107,002202,金风科技,指标筛选/default,SELL,trailing_stop,6100,56618.300277,0.37797486245999595,4,False,True,2,94.9324,综合评分 94.9，候选排名第 2；当日涨幅 +9.99%，短线强度已确认；流动性分位 99.8，承接能力较好；tech_score 94.7，指标表现靠前；通过市场、流动性、强度、量能、趋势过滤,"{""stk_liquidity_percentile"": 99.81681626671552, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.68058235294117}",99.81681626671552,88.23529411764706,94.68058235294117
20260113,20260108,300346,南大光电,指标筛选/default,SELL,time_stop,2600,-7051.958784000017,-0.04730885076841181,3,False,False,2,94.8901,综合评分 94.9，候选排名第 2；当日涨幅 +20.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 3.26/2.79 倍；流动性分位 99.6，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.63369963369964, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.63369963369964,88.23529411764706,94.70588235294119
20260114,20260108,002792,通宇通讯,指标筛选/default,SELL,trailing_stop,2700,20589.67813319998,0.13830763595698917,4,False,True,3,94.6429,综合评分 94.6，候选排名第 3；当日涨幅 +10.01%，短线强度已确认；量能未明显放大，成交额/成交量约为5日均值 0.89/0.79 倍；流动性分位 98.8，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.80952380952381, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",98.80952380952381,88.23529411764706,94.70588235294119
20260119,20260116,002130,沃尔核材,指标筛选/default,SELL,stop_loss,5200,-9933.079852799972,-0.06063707054767094,1,True,False,2,94.5382,综合评分 94.5，候选排名第 2；当日涨幅 +10.01%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.12/2.00 倍；流动性分位 98.5，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.46069268829028, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",98.46069268829028,88.23529411764706,94.70588235294119
20260120,20260116,601208,东材科技,指标筛选/default,SELL,stop_loss,5500,-17414.84484299997,-0.10636591498003717,2,True,False,3,94.4283,综合评分 94.4，候选排名第 3；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.99/1.89 倍；流动性分位 98.1，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.094190947407, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",98.094190947407,88.23529411764706,94.70588235294119
20260126,20260122,002156,通富微电,指标筛选/default,SELL,stop_loss,2700,-17426.13774300003,-0.11111839191625478,2,True,False,1,94.8765,综合评分 94.9，候选排名第 1；当日涨幅 +10.00%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.37/1.15 倍；流动性分位 99.6，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.59743824336688, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70038235294118}",99.59743824336688,88.23529411764706,94.70038235294118
20260126,20260122,002185,华天科技,指标筛选/default,SELL,stop_loss,10800,-18342.161769599974,-0.11334114114993453,2,True,False,3,94.7091,综合评分 94.7，候选排名第 3；当日涨幅 +10.01%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 2.13/1.92 倍；流动性分位 99.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 99.03019213174748, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",99.03019213174748,88.23529411764706,94.70588235294119
20260127,20260121,002716,湖南白银,指标筛选/default,SELL,trailing_stop,12200,53332.4458632,0.33091638390376155,4,False,True,1,94.6982,综合评分 94.7，候选排名第 1；当日涨幅 +10.03%，短线强度已确认；量价活跃，成交额/成交量约为5日均值 1.24/1.04 倍；流动性分位 99.0，承接能力较好；tech_score 94.7，指标表现靠前,"{""stk_liquidity_percentile"": 98.99396378269618, ""stk_new_high_20d"": 88.23529411764706, ""tech_score"": 94.70588235294119}",98.99396378269618,88.23529411764706,94.70588235294119
