trade_date,index_code,index_name,open,high,low,close,pre_close,pct_chg,vol_hand,amount_yuan,source,as_of_date,ingested_at
20251216,000001.SH,,3861.5145,3862.4271,3815.8444,3824.8119,3867.9209,-1.1145,512494827.0,733294004000.0,index_daily,20260618,2026-06-18T17:50:41
20251217,000001.SH,,3822.5086,3881.7519,3817.9955,3870.2775,3824.8119,1.1887,512313692.0,766820526300.0,index_daily,20260618,2026-06-18T17:50:41
20251218,000001.SH,,3857.2568,3888.2853,3856.4229,3876.3705,3870.2775,0.1574,461172625.0,704895595200.0,index_daily,20260618,2026-06-18T17:50:41
20251219,000001.SH,,3878.227,3902.6708,3871.7767,3890.4475,3876.3705,0.3631,513511893.0,738066004800.0,index_daily,20260618,2026-06-18T17:50:41
20251222,000001.SH,,3900.535,3920.0121,3900.5152,3917.3638,3890.4475,0.6919,522938992.0,789756386800.0,index_daily,20260618,2026-06-18T17:50:41
20251223,000001.SH,,3919.1063,3937.127,3910.7449,3919.9786,3917.3638,0.0667,521156952.0,806853443000.0,index_daily,20260618,2026-06-18T17:50:41
20251224,000001.SH,,3920.3466,3947.0408,3912.3107,3940.947,3919.9786,0.5349,474896447.0,773928624500.0,index_daily,20260618,2026-06-18T17:50:41
20251225,000001.SH,,3937.7196,3964.0733,3936.0782,3959.6211,3940.947,0.4738,469313093.0,785018650100.0,index_daily,20260618,2026-06-18T17:50:41
20251226,000001.SH,,3957.8326,3977.7062,3945.5238,3963.6789,3959.6211,0.1025,555489592.0,893644363900.0,index_daily,20260618,2026-06-18T17:50:41
20251229,000001.SH,,3964.6513,3983.9787,3956.9455,3965.2796,3963.6789,0.0404,563687197.0,903819726800.0,index_daily,20260618,2026-06-18T17:50:41
20251230,000001.SH,,3947.8707,3979.9901,3947.4187,3965.1159,3965.2796,-0.0041,525932588.0,887533318600.0,index_daily,20260618,2026-06-18T17:50:41
20251231,000001.SH,,3968.7256,3977.5358,3955.4871,3968.8401,3965.1159,0.0939,490751490.0,829511897500.0,index_daily,20260618,2026-06-18T17:50:41
20260105,000001.SH,,3986.9721,4025.2632,3983.5759,4023.4167,3968.8401,1.3751,596950455.0,1067334169200.0,index_daily,20260618,2026-06-18T17:50:41
20260106,000001.SH,,4026.0158,4083.6672,4025.088,4083.6672,4023.4167,1.4975,702472270.0,1175768705000.0,index_daily,20260618,2026-06-18T17:50:41
20260107,000001.SH,,4083.843,4098.7771,4069.4358,4085.7723,4083.6672,0.0515,683384352.0,1197422798300.0,index_daily,20260618,2026-06-18T17:50:41
20260108,000001.SH,,4077.715,4093.8718,4067.1216,4082.9788,4085.7723,-0.0684,666131337.0,1183188756000.0,index_daily,20260618,2026-06-18T17:50:41
20260109,000001.SH,,4086.7624,4121.7226,4083.6155,4120.426,4082.9788,0.9172,729837985.0,1289205972300.0,index_daily,20260618,2026-06-18T17:50:41
20260112,000001.SH,,4134.893,4168.3569,4119.8793,4165.287,4120.426,1.0887,839456089.0,1446230122000.0,index_daily,20260618,2026-06-18T17:50:41
20260113,000001.SH,,4169.7041,4179.702,4126.2343,4138.7585,4165.287,-0.6369,868382717.0,1481574218600.0,index_daily,20260618,2026-06-18T17:50:41
20260114,000001.SH,,4138.6454,4190.8663,4103.6205,4126.0932,4138.7585,-0.306,952551289.0,1607041237800.0,index_daily,20260618,2026-06-18T17:50:41
20260115,000001.SH,,4106.2241,4133.0726,4096.8496,4112.6012,4126.0932,-0.327,680250791.0,1175915097400.0,index_daily,20260618,2026-06-18T17:50:41
20260116,000001.SH,,4127.0632,4140.2251,4091.8106,4101.9127,4112.6012,-0.2599,763588465.0,1338017280000.0,index_daily,20260618,2026-06-18T17:50:41
20260119,000001.SH,,4090.7185,4126.5175,4090.0567,4114.0001,4101.9127,0.2947,688905870.0,1190137813600.0,index_daily,20260618,2026-06-18T17:50:41
20260120,000001.SH,,4116.3659,4128.9304,4080.2938,4113.649,4114.0001,-0.0085,734362496.0,1221485626200.0,index_daily,20260618,2026-06-18T17:50:41
20260121,000001.SH,,4103.5291,4135.9585,4103.5291,4116.94,4113.649,0.08,666989507.0,1180184557000.0,index_daily,20260618,2026-06-18T17:50:41
